suite,status,total,threshold,model_version,current_binary_correct,current_binary_accuracy,baseline_binary_correct,baseline_binary_accuracy,delta_binary_accuracy,current_full_correct,current_full_accuracy,baseline_full_correct,baseline_full_accuracy,delta_full_accuracy,current_fp,baseline_fp,current_fn,baseline_fn,current_precision,baseline_precision,current_recall,baseline_recall,current_f1,baseline_f1
targeted_next_debug_suite,OK,32,0.96,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,29,0.90625,24,0.75,0.15625,29,0.90625,,,,3,,0,,0.8421052631578947,,1.0,,0.9142857142857143,
mega_sqli_debug_suite,OK,40,0.96,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,39,0.975,,,,38,0.95,,,,1,,0,,0.9615384615384616,,1.0,,0.9803921568627451,
realistic_long_sqli_suite,OK,18,0.96,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,15,0.8333333333333334,,,,14,0.7777777777777778,,,,2,,1,,0.8461538461538461,,0.9166666666666666,,0.8799999999999999,
enterprise_realistic_sqli_final_suite,OK,40,0.96,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,32,0.8,31,0.775,0.025000000000000022,28,0.7,,,,3,,5,,0.8846153846153846,,0.8214285714285714,,0.8518518518518519,
final_framework_obfuscation_stability_suite,OK,64,0.96,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,49,0.765625,52,0.8125,-0.046875,42,0.65625,,,,10,,5,,0.7297297297297297,,0.84375,,0.7826086956521738,
adversarial_real_world_sqli_challenge_suite,OK,32,0.96,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,24,0.75,24,0.75,0.0,22,0.6875,,,,6,,2,,0.75,,0.9,,0.8181818181818182,
v18_remaining_edge_focused_suite,OK,28,0.96,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,25,0.8928571428571429,19,0.6786,0.21425714285714292,24,0.8571428571428571,,,,0,,3,,1.0,,0.8125,,0.896551724137931,
v18_provenance_overfit_guard_suite,OK,20,0.96,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,15,0.75,,,,14,0.7,,,,2,,3,,0.8333333333333334,,0.7692307692307693,,0.8,
unseen_generalization_suite_latest_fixed,OK,128,0.96,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,128,1.0,128,1.0,0.0,112,0.875,,,,0,,0,,1.0,,1.0,,1.0,
hard_mixed_sqli_challenge_suite,OK,80,0.96,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,77,0.9625,,,,72,0.9,,,,1,,2,,0.9830508474576272,,0.9666666666666667,,0.9747899159663865,
known_good_sqli_detection_suite,OK,40,0.96,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,34,0.85,,,,31,0.775,,,,6,,0,,0.8,,1.0,,0.888888888888889,
root_cause_attack_type_diagnostic_suite,OK,32,0.96,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,26,0.8125,,,,22,0.6875,,,,5,,1,,0.8,,0.9523809523809523,,0.8695652173913043,
stable_expected_detection_suite,OK,40,0.96,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,35,0.875,,,,30,0.75,,,,4,,1,,0.84,,0.9545454545454546,,0.8936170212765958,
__TOTAL__,OK,594,mixed/metadata,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,528,0.8888888888888888,278,0.468013468013468,0.4208754208754209,478,0.8047138047138047,0,0.0,0.8047138047138047,43,0,23,0,,,,,,
