threshold,total,binary_correct,binary_accuracy,full_correct,full_accuracy,false_positives,false_negatives,true_positives,true_negatives,precision,recall,specificity,f1,suite_count
0.3,594,478,0.8047138047138047,421,0.7087542087542088,104,12,373,105,0.7819706498951782,0.9688311688311688,0.5023923444976076,0.8654292343387472,13
0.4,594,478,0.8047138047138047,422,0.7104377104377104,103,13,372,106,0.783157894736842,0.9662337662337662,0.507177033492823,0.8651162790697675,13
0.5,594,499,0.8400673400673401,447,0.7525252525252525,77,18,367,132,0.8265765765765766,0.9532467532467532,0.631578947368421,0.8854041013268998,13
0.52,594,499,0.8400673400673401,447,0.7525252525252525,77,18,367,132,0.8265765765765766,0.9532467532467532,0.631578947368421,0.8854041013268998,13
0.6,594,498,0.8383838383838383,446,0.7508417508417509,77,19,366,132,0.8261851015801355,0.9506493506493506,0.631578947368421,0.8840579710144928,13
0.7,594,501,0.8434343434343434,449,0.7558922558922558,74,19,366,135,0.8318181818181818,0.9506493506493506,0.645933014354067,0.8872727272727272,13
0.8,594,501,0.8434343434343434,449,0.7558922558922558,73,20,365,136,0.8333333333333334,0.948051948051948,0.6507177033492823,0.8869987849331713,13
0.88,594,505,0.8501683501683501,453,0.7626262626262627,69,20,365,140,0.8410138248847926,0.948051948051948,0.6698564593301436,0.8913308913308912,13
0.9,594,506,0.8518518518518519,454,0.7643097643097643,68,20,365,141,0.8429561200923787,0.948051948051948,0.6746411483253588,0.8924205378973106,13
0.92,594,508,0.8552188552188552,456,0.7676767676767676,66,20,365,143,0.8468677494199536,0.948051948051948,0.6842105263157895,0.8946078431372548,13
0.94,594,508,0.8552188552188552,457,0.7693602693602694,64,22,363,145,0.8501170960187353,0.9428571428571428,0.69377990430622,0.8940886699507389,13
0.96,594,528,0.8888888888888888,478,0.8047138047138047,43,23,362,166,0.8938271604938272,0.9402597402597402,0.7942583732057417,0.9164556962025316,13
0.98,594,522,0.8787878787878788,481,0.8097643097643098,39,33,352,170,0.9002557544757033,0.9142857142857143,0.8133971291866029,0.9072164948453608,13
0.99,594,519,0.8737373737373737,479,0.8063973063973064,39,36,349,170,0.8994845360824743,0.9064935064935065,0.8133971291866029,0.9029754204398448,13
