threshold,suite,total,binary_correct,binary_accuracy,full_correct,full_accuracy,false_positives,false_negatives,true_positives,true_negatives,precision,recall,specificity,f1,model_version,threshold_source
0.3,targeted_next_debug_suite,32,27,0.84375,27,0.84375,5,0,16,11,0.7619047619047619,1.0,0.6875,0.8648648648648648,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,cli
0.3,mega_sqli_debug_suite,40,37,0.925,36,0.9,3,0,25,12,0.8928571428571429,1.0,0.8,0.9433962264150945,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,cli
0.3,realistic_long_sqli_suite,18,14,0.7777777777777778,13,0.7222222222222222,4,0,12,2,0.75,1.0,0.3333333333333333,0.8571428571428571,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,cli
0.3,enterprise_realistic_sqli_final_suite,40,28,0.7,22,0.55,9,3,25,3,0.7352941176470589,0.8928571428571429,0.25,0.806451612903226,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,cli
0.3,final_framework_obfuscation_stability_suite,64,38,0.59375,30,0.46875,23,3,29,9,0.5576923076923077,0.90625,0.28125,0.6904761904761905,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,cli
0.3,adversarial_real_world_sqli_challenge_suite,32,20,0.625,17,0.53125,11,1,19,1,0.6333333333333333,0.95,0.08333333333333333,0.7599999999999999,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,cli
0.3,v18_remaining_edge_focused_suite,28,18,0.6428571428571429,16,0.5714285714285714,8,2,14,4,0.6363636363636364,0.875,0.3333333333333333,0.7368421052631579,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,cli
0.3,v18_provenance_overfit_guard_suite,20,13,0.65,12,0.6,5,2,11,2,0.6875,0.8461538461538461,0.2857142857142857,0.7586206896551724,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,cli
0.3,unseen_generalization_suite_latest_fixed,128,126,0.984375,110,0.859375,2,0,96,30,0.9795918367346939,1.0,0.9375,0.9896907216494846,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,cli
0.3,hard_mixed_sqli_challenge_suite,80,78,0.975,73,0.9125,1,1,59,19,0.9833333333333333,0.9833333333333333,0.95,0.9833333333333333,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,cli
0.3,known_good_sqli_detection_suite,40,27,0.675,24,0.6,13,0,24,3,0.6486486486486487,1.0,0.1875,0.7868852459016393,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,cli
0.3,root_cause_attack_type_diagnostic_suite,32,24,0.75,19,0.59375,8,0,21,3,0.7241379310344828,1.0,0.2727272727272727,0.8400000000000001,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,cli
0.3,stable_expected_detection_suite,40,28,0.7,22,0.55,12,0,22,6,0.6470588235294118,1.0,0.3333333333333333,0.7857142857142858,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,cli
0.4,targeted_next_debug_suite,32,27,0.84375,27,0.84375,5,0,16,11,0.7619047619047619,1.0,0.6875,0.8648648648648648,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,cli
0.4,mega_sqli_debug_suite,40,37,0.925,36,0.9,3,0,25,12,0.8928571428571429,1.0,0.8,0.9433962264150945,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,cli
0.4,realistic_long_sqli_suite,18,14,0.7777777777777778,13,0.7222222222222222,4,0,12,2,0.75,1.0,0.3333333333333333,0.8571428571428571,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,cli
0.4,enterprise_realistic_sqli_final_suite,40,28,0.7,22,0.55,9,3,25,3,0.7352941176470589,0.8928571428571429,0.25,0.806451612903226,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,cli
0.4,final_framework_obfuscation_stability_suite,64,38,0.59375,30,0.46875,23,3,29,9,0.5576923076923077,0.90625,0.28125,0.6904761904761905,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,cli
0.4,adversarial_real_world_sqli_challenge_suite,32,20,0.625,17,0.53125,11,1,19,1,0.6333333333333333,0.95,0.08333333333333333,0.7599999999999999,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,cli
0.4,v18_remaining_edge_focused_suite,28,17,0.6071428571428571,16,0.5714285714285714,8,3,13,4,0.6190476190476191,0.8125,0.3333333333333333,0.7027027027027026,model1-cnn-bilstm-dual-head-v18-ml95-v2-normalizer,cli
